Chip Run Info,C:\Users\Pierre\Desktop\hIPSC project\1362362588_plate2_v2_human_lineage_10-4-18\ChipRun.bml,1362362588,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,10/04/2018 3:51:47 PM,01:54:01,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.3.1
Application Build,20170404.1035
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S06-A48,FA1 Day3 B,Unknown,1,TBP,Test,20.4575748195694,1,Pass,0.0113351551779112,82.1417688924071,999,1
S06-A54,FA1 Day3 B,Unknown,1,Col10a1,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A53,FA1 Day3 B,Unknown,1,Dcn,Test,26.5966423546188,1,Pass,0.0113351551779112,84.8773790209294,999,1
S06-A52,FA1 Day3 B,Unknown,1,Hhex,Test,17.053870103803,1,Pass,0.0113351551779112,80.0780205951937,999,1
S06-A51,FA1 Day3 B,Unknown,1,Foxa2,Test,21.1568100010451,1,Pass,0.0113351551779112,86.6008959603798,999,1
S06-A50,FA1 Day3 B,Unknown,1,Wnt3a,Test,20.9046578444293,1,Pass,0.0113351551779112,78.4897211125732,999,1
S06-A49,FA1 Day3 B,Unknown,1,Klf4,Test,21.5806314104231,1,Pass,0.0113351551779112,76.8991287213875,999,1
S06-A60,FA1 Day3 B,Unknown,1,Gusb,Test,18.351326852387,1,Pass,0.0113351551779112,80.8880046363438,999,1
S06-A59,FA1 Day3 B,Unknown,1,Sox1,Test,999,0,Fail,0.0113351551779112,999,999,0
S06-A58,FA1 Day3 B,Unknown,1,Vim,Test,16.0251422518886,1,Pass,0.0113351551779112,82.2216047217431,999,1
