maxquant_row_id	num_gene_names	gene_names	uniprot_acc	is_unique	protein_ids
3624	1	YWHAB	P31946	Unique	P31946-2;P31946;Q4VY20;Q4VY19;A0A0J9YWE8;A0A0J9YWZ2
3625	1	SFN	P31947	Unique	P31947-2;P31947
3626	1	STIP1	P31948	Unique	P31948;P31948-2;P31948-3;F5H783;H0YGI8;F5GXD8
3627	1	S100A11	P31949	Unique	P31949
3628	1	L1CAM	P32004	Unique	P32004-3;P32004-2;P32004;H0Y5C3;E9PHJ4;E7EMY4;E7EVM4;E7EPI4;H3BLW5
3629	1	INPP5B	P32019	Unique	P32019-2;P32019;E7ESY0;P32019-3;P32019-4;B1ARF3
3630	1	PRDX2	P32119	Unique	P32119;A6NIW5;P32119-2
3631	1	ARRB2	P32121	Unique	P32121;P32121-3;P32121-4;K7ENA6;P32121-5;P32121-2;K7EL17;Q68DZ5
3632	3	GK:GK3P:GK2	P32189:Q14409:Q14410	Multimapped	P32189-1;P32189-4;P32189-2;P32189;Q14409;Q14410;F8WDA9;F8WBI8;F8WC39;A6NP46;H7C2A0
3633	1	DCTD	P32321	Unique	P32321-2;P32321;D6RBJ9
